StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,13.608,None
2,1,1,13.608,14.316,
3,1,2,14.316,inf,
4,2,0,-inf,20.1,None
5,2,1,20.1,inf,
6,3,0,-inf,30.0,None
7,3,1,30.0,inf,
8,4,0,-inf,20.1,None
9,4,1,20.1,20.2,
10,4,2,20.2,inf,
11,5,0,-inf,20.1,None
12,5,1,20.1,inf,
13,6,0,-inf,15.75,None
14,6,1,15.75,16.5,
15,6,2,16.5,inf,
16,39,0,-inf,5.764,None
17,39,1,5.764,5.828,
18,39,2,5.828,inf,
19,40,0,-inf,72.81,None
20,40,1,72.81,73.62,
21,40,2,73.62,inf,
22,41,0,-inf,145.95,None
23,41,1,145.95,146.9,
24,41,2,146.9,inf,
25,42,0,-inf,77.35,None
26,42,1,77.35,79.7,
27,42,2,79.7,inf,
28,43,0,-inf,3.712,None
29,43,1,3.712,3.724,
30,43,2,3.724,inf,
31,44,0,-inf,0.8793,None
32,44,1,0.8793,0.8886,
33,44,2,0.8886,inf,
34,55,0,-inf,0.01,None
35,55,1,0.01,0.02,
36,55,2,0.02,inf,
