StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,30.6,None
2,1,1,30.6,41.22,0.8269398149035354
3,1,2,41.22,inf,0.5982695885852573
4,2,0,-inf,20.1,None
5,2,1,20.1,inf,
6,3,0,-inf,30.0,None
7,3,1,30.0,inf,
8,4,0,-inf,20.1,None
9,4,1,20.1,20.2,
10,4,2,20.2,inf,
11,5,0,-inf,20.1,None
12,5,1,20.1,inf,0.0
13,6,0,-inf,15.75,None
14,6,1,15.75,16.5,
15,6,2,16.5,inf,
16,39,0,-inf,6.34,None
17,39,1,6.34,8.9,0.5811158380314033
18,39,2,8.9,inf,0.7752960528993684
19,40,0,-inf,72.81,None
20,40,1,72.81,86.58,0.9191738293819782
21,40,2,86.58,inf,0.6615632381579821
22,41,0,-inf,145.95,None
23,41,1,145.95,173.5,1.0510227012843285
24,41,2,173.5,inf,0.6920817133419599
25,42,0,-inf,77.35,None
26,42,1,77.35,79.7,0.6845006616902309
27,42,2,79.7,inf,0.6845006616902309
28,43,0,-inf,4.300000000000001,None
29,43,1,4.300000000000001,4.5040000000000004,0.6930288326958663
30,43,2,4.5040000000000004,inf,1.039084314382295
31,44,0,-inf,0.9909,None
32,44,1,0.9909,1.0002,0.8772414385700473
33,44,2,1.0002,inf,0.5898351360479686
34,55,0,-inf,0.01,None
35,55,1,0.01,0.02,0.6931471805599453
36,55,2,0.02,inf,0.6931471805599453
